Fecha,Gas87,Gas91,Diesel
2017-06-18,15.54,17.37,16.57
2017-06-19,15.54,17.37,16.57
2017-06-20,15.54,17.36,16.56
2017-06-21,15.54,17.38,16.54
2017-06-22,15.52,17.35,16.53
2017-06-23,15.52,17.34,16.5
2017-06-24,15.5,17.33,16.49
2017-06-25,15.5,17.33,16.49
2017-06-26,15.5,17.33,16.49
2017-06-27,15.49,17.32,16.48
2017-06-28,15.47,17.3,16.47
2017-06-29,15.48,17.31,16.48
2017-06-30,15.48,17.3,16.48
2017-07-01,15.49,17.3,16.49
2017-07-02,15.49,17.3,16.49
2017-07-03,15.49,17.31,16.49
2017-07-04,15.51,17.32,16.5
2017-07-05,15.51,17.32,16.5
2017-07-06,15.51,17.32,16.5
2017-07-07,15.51,17.32,16.5
2017-07-08,15.52,17.33,16.5
2017-07-09,15.51,17.33,16.49
2017-07-10,15.51,17.33,16.49
2017-07-11,15.49,17.3,16.47
2017-07-12,15.48,17.31,16.46
2017-07-13,15.48,17.31,16.47
2017-07-14,15.47,17.3,16.45
2017-07-15,15.47,17.3,16.45
2017-07-16,15.47,17.3,16.44
2017-07-17,15.47,17.3,16.44
2017-07-18,15.47,17.3,16.44
2017-07-19,15.47,17.3,16.44
2017-07-20,15.48,17.29,16.44
2017-07-21,15.48,17.29,16.45
2017-07-22,15.47,17.28,16.44
2017-07-23,15.46,17.28,16.44
2017-07-24,15.46,17.28,16.44
2017-07-25,15.45,17.26,16.42
2017-07-26,15.45,17.26,16.42
2017-07-27,15.47,17.29,16.45
2017-07-28,15.48,17.3,16.46
2017-07-29,15.49,17.31,16.46
2017-07-30,15.49,17.31,16.46
2017-07-31,15.49,17.31,16.46
2017-08-01,15.51,17.33,16.48
2017-08-02,15.54,17.36,16.5
2017-08-03,15.54,17.36,16.49
2017-08-04,15.54,17.36,16.5
2017-08-05,15.54,17.36,16.49
2017-08-06,15.54,17.37,16.49
2017-08-07,15.54,17.37,16.49
2017-08-08,15.55,17.38,16.5
2017-08-09,15.55,17.38,16.5
2017-08-10,15.55,17.38,16.49
2017-08-11,15.56,17.39,16.51
2017-08-12,15.55,17.38,16.5
2017-08-13,15.55,17.38,16.5
2017-08-14,15.55,17.38,16.5
2017-08-15,15.55,17.38,16.5
2017-08-16,15.53,17.36,16.49
2017-08-17,15.53,17.36,16.49
2017-08-18,15.52,17.35,16.48
2017-08-19,15.53,17.36,16.49
2017-08-20,15.53,17.36,16.49
2017-08-21,15.53,17.36,16.49
2017-08-22,15.55,17.39,16.52
2017-08-23,15.56,17.39,16.52
2017-08-24,15.57,17.4,16.54
2017-08-25,15.59,17.42,16.56
2017-08-26,15.61,17.45,16.56
2017-08-27,15.61,17.45,16.56
2017-08-28,15.61,17.45,16.56
2017-08-29,15.62,17.45,16.57
2017-08-30,15.64,17.48,16.59
2017-08-31,15.67,17.5,16.62
2017-09-01,15.7,17.53,16.63
2017-09-02,15.73,17.56,16.66
2017-09-03,15.73,17.56,16.66
2017-09-04,15.73,17.56,16.66
2017-09-05,15.75,17.59,16.67
2017-09-06,15.75,17.59,16.68
2017-09-07,15.75,17.61,16.7
2017-09-08,15.74,17.61,16.71
2017-09-09,15.76,17.63,16.74
2017-09-10,15.76,17.63,16.74
