Longitud,Latitud,ID_CRE,Razon_Social,Colonia,CP,Municipio,Entidad,Franquicia_Marca,Gas87,Gas91,Diesel
-99.14212,19.7098,3566,"INMOBILIARIA SUGARSU, S. A. DE C. V.",PARAJE CANTERA SAN ISIDRO,54880,MELCHOR OCAMPO,Estado de Mexico,BP (BRITISH PETROLEUM),14.95,17.49,
-103.4926,20.48913,3479,"ORGANIZACIÓN LA LUNA, S. A. DE C. V.",SANTA CRUZ DE LAS FLORES,45640,TLAJOMULCO DE ZÚÑIGA,Jalisco,PEMEX,15.99,16.99,18.99
-102.0523,19.41358,3675,"COMBU-EXPRESS, S. A. DE C. V.",PUREPECHAS,60080,URUAPAN,Michoacan,Combu-Express,14.99,15.35,18.65
-99.04985,19.50356,3365,"INMUEBLES VENTA DE CARPIO, S. A. DE C. V.",GRANJAS VALLE DE GUADALUPE,55270,ECATEPEC DE MORELOS,Estado de Mexico,BP (BRITISH PETROLEUM),14.95,15.19,
-99.28056,19.59318,3530,"CARGA COMBUSTIBLES, S. A. DE C. V.",FRANCISCO SARABIA,54473,NICOLÁS ROMERO,Estado de Mexico,PEMEX,14.59,15.88,17.33
-106.3841,23.24376,3649,"PETROMAR DEL PACIFICO, S. A. DE C. V.",RICARDO FLORES MAGÓN,82190,MAZATLÁN,Sinaloa,PEMEX,15.14,15.42,
-100.2263,25.93134,10938,"ESTACIÓN EL SESTEO, S. A. DE C. V.",CIÉNEGA DE FLORES,65550,CIÉNEGA DE FLORES,Nuevo Leon,PEMEX,16.69,18.19,19.99
-106.0764,28.63337,3191,"RAPIGAS DEL CENTRO, S. A. DE C. V.",CENTRO,31000,CHIHUAHUA,Chihuahua,PEMEX,14.69,16.47,
-103.3535,20.72843,3527,"GASOLINERA LA MORENA, S. A. DE C. V.",AUDITORIO,45190,ZAPOPAN,Jalisco,PEMEX,15.05,16.8,1
-106.1029,28.65872,3542,"SERVICIO AMERICAS, S. A. DE C. V.",GRANJAS,31160,CHIHUAHUA,Chihuahua,PEMEX,14.7,15.99,
-98.74478,20.06806,3524,"SERVICIO DUBLIN, S. A. DE C. V.",PARQUE INDUSTRIAL CANACINTRA,42093,PACHUCA DE SOTO,Hidalgo,PEMEX,14.25,14.66,17.73
-106.1024,28.60008,3483,"PETROMAX, S. A. DE C. V.",LOS PINOS,31416,CHIHUAHUA,Chihuahua,Petro Seven,14.89,16.59,
-99.14008,19.4665,3417,"SERVICIO CLAVE, S. A. DE C. V.",VALLEJO,7870,GUSTAVO A. MADERO,Ciudad de Mexico,CorpoGas,15.49,16.49,18.99
-101.0106,22.20645,3313,"SERVICIO TORNADO, S. A. DE C. V.",EL SAUZALITO,78116,SAN LUIS POTOSÍ,San Luis Potosi,Gaso Max,14.31,15.49,18.49
-103.382,20.71266,3648,"SERVICIO PATRIA, S. A. DE C. V.",AGRARIA,45160,ZAPOPAN,Jalisco,PEMEX,15.9,16.99,
-103.453,20.66939,3256,"SÚPER SERVICIO CIUDAD GRANJA, S. A. DE C. V.",CUIDAD GRANJA,45010,ZAPOPAN,Jalisco,PEMEX,15.99,17.69,19.87
-98.89527,18.91669,3460,"ESTACIÓN DE SERVICIO EL SALTO, S. A. DE C. V.",EL SALTO,62840,ATLATLAHUCAN,Morelos,PEMEX,14.8,15.8,19.77
-98.71516,20.0702,3378,"ESTACIÓN SANTA MARÍA LA PROVIDENCIA, S. A. DE C. V.",SANTA RITA,42180,MINERAL DE LA REFORMA,Hidalgo,PEMEX,13.8,14.13,
-100.0126,19.92083,3518,"SERVICIO SANTA MARÍA CANCHESDA, S. A. DE C. V.",S/C,50400,TEMASCALCINGO,Estado de Mexico,PEMEX,14.95,16.5,18.45
-95.04387,16.48846,3554,"COMBUSTIBLES SANTA CRUZ MAGARIÑO, S. A. DE C. V.",CENTRO,70117,EL ESPINAL,Oaxaca,PEMEX,16.1,,19.27
-98.94162,19.83448,3410,"GRUPO GASOLINERO TH, S. A. DE C. V.",TEPOJACO,43810,TIZAYUCA,Hidalgo,PEMEX,14.45,16.99,18.57
-102.6728,20.29387,3570,"CEFEVIG, S. A. DE C. V.",S/C,47900,JAMAY,Jalisco,PEMEX,15.89,,19.17
-102.5381,20.3006,3329,"DISTRIBUIDORA ABREVADERO, S. A. DE C. V.",ABREVADERO,47912,LA BARCA,Jalisco,PEMEX,15.59,16.39,
-102.5119,20.32265,3188,"CALUFER, S. A. DE C. V.",S/C,47910,LA BARCA,Jalisco,PEMEX,15.79,16.39,18.79
-102.5394,20.30621,3609,"CALUFER, S. A. DE C. V.",S/C,47910,LA BARCA,Jalisco,PEMEX,15.59,16.39,18.69
-98.89842,19.31158,3396,"SERVICIO SANTA BARBARA, S. A. DE C. V.",SANTA BÁRBARA,56538,IXTAPALUCA,Estado de Mexico,PEMEX,15.15,15.25,18.2
-98.84561,19.23219,3633,"SERVICIO TLAPALA, S. A. DE C. V.",LA CANDELARIA TLAPALA,56600,CHALCO,Estado de Mexico,PEMEX,14.3,15.15,18.05
-99.17332,19.3364,3650,"SERVICIO EJE 10, S. A. DE C. V.",PEDREGAL DE SANTO DOMINGO,4369,COYOACÁN,Ciudad de Mexico,CorpoGas,16.49,17.99,
-103.4405,20.45897,3368,"GRUPO G&G DE OCCIDENTE, S. A. DE C. V.",CENTRO,45654,TLAJOMULCO DE ZÚÑIGA,Jalisco,REPSOL,16.35,18.19,19.29
-102.5097,21.68768,3359,"SERVICIO SOTO SANTANA,S. A. DE C. V.",S/C,47250,VILLA HIDALGO,Jalisco,PEMEX,16,16.3,19.8
-99.17231,19.61906,3216,"SERVICIO RAVES, S. A. DE C. V.",RECURSOS HIDRÁULICOS,54913,TULTITLÁN,Estado de Mexico,CorpoGas,14.99,16.99,18.99
-99.02752,19.53295,3418,"GASOLINERÍA RECOLETOS, S. A. DE C. V.",RINCONADA DE ARAGÓN,55140,ECATEPEC DE MORELOS,Estado de Mexico,CorpoGas,14.99,16.99,
-106.4631,31.69999,3225,"ADMINISTRACIÓN DE GASOLINA NORPONIENTE, S. A. DE C. V.",AZTECA,32280,JUÁREZ,Chihuahua,PEMEX,9.03,10.89,
-106.499,31.74244,3431,"ESTACIÓN DE SERVICIO TRES HERMANOS, S. A. DE C. V.",ARROYO COLORADO,32140,JUÁREZ,Chihuahua,PEMEX,9.03,,
-106.5089,31.72569,3207,"ADMINISTRACIÓN DE GASOLINA NORPONIENTE, S. A. DE C. V.",EMILIANO ZAPATA,32547,JUÁREZ,Chihuahua,PEMEX,9.19,10.89,16.43
-99.07623,19.62374,3549,"INMOBILIARIA BOLNUEVO 10, S. A. DE C. V.",GUADALUPE,55010,ECATEPEC DE MORELOS,Estado de Mexico,CorpoGas,15.99,17.49,18.99
-102.5933,22.77384,3510,"LA LUZ DE TAMPICO, S. A. DE C. V.",LUIS DONALDO COLOSIO,98040,ZACATECAS,Zacatecas,PEMEX,14.99,15.9,18.99
-99.11986,19.65353,3474,"INMUEBLES VENTA DE CARPIO, S. A. DE C. V.",HACIENDA,54960,TULTEPEC,Estado de Mexico,BP (BRITISH PETROLEUM),14.95,17.49,18.79
-102.0763,19.44753,3568,"GASOLINERA CHERANGUERAN, S. A. DE C. V.",S/C,60010,URUAPAN,Michoacan,REPSOL,15.09,15.45,19.25
-104.2247,20.07085,3626,"GASOLINERA CUATRO ESTRELLAS, S. A. DE C. V.",S/C,48000,UNIÓN DE TULA,Jalisco,PEMEX,15.91,16.61,18.75
-99.64293,19.25875,3520,"SERVICIO VASA, S. A. DE C. V.",AZTECA,50180,TOLUCA,Estado de Mexico,TOTAL,14.49,15.53,18.44
-103.3936,20.42204,3202,"GASOLINERA SAN MIGUEL, S. A. DE C. V.",SAN MIGUEL,45660,TLAJOMULCO DE ZÚÑIGA,Jalisco,PEMEX,16.05,17.01,19.19
-99.23036,19.52,3642,"ADMINISTRADORA DE ACTIVOS Y SERVICIOS, S. A. DE C. V.",SAN LUCAS TEPETLACALCO,54055,TLALNEPANTLA DE BAZ,Estado de Mexico,PEMEX,15.5,17.2,
-99.17922,19.52803,3639,"ADMINISTRADORA DE ACTIVOS Y SERVICIOS, S. A. DE C. V.",LA JOYA IXTACALA,54160,TLALNEPANTLA DE BAZ,Estado de Mexico,PEMEX,14.99,16.99,18.49
-103.019,19.91996,3487,"DISTRIBUIDORA DE COMBUSTIBLES MAZATL, S. A. DE C. V.",ESQUINA VICENTE GUERRERO,49500,MAZAMITLA,Jalisco,PEMEX,17.4,19.05,20.05
-103.44,20.76081,3471,"SERVICIO BASE AÉREA, S. A. DE C. V.",NUEVO MEXICO,45200,ZAPOPAN,Jalisco,PEMEX,15.49,16.19,
-102.7802,20.82224,3446,"SERVICIO RAMÍREZ DE TEPATITLÁN, S. A. DE C. V.",FRACCIONAMIENTO LAS COLONIAS,47600,TEPATITLÁN DE MORELOS,Jalisco,PEMEX,16.37,17.11,
-99.03332,18.89235,3173,"SÚPER SERVICIO SAN CARLOS, S. A. DE C. V.",LOS ARCOS,62730,YAUTEPEC,Morelos,REPSOL,15.89,17.29,19.79
-100.7998,20.52888,3415,"ETRAFUCE INTERNATIONAL COMPANY, S. A. DE C. V.",BARRIO EL ZAPOTE,38057,CELAYA,Guanajuato,PEMEX,14.1,14.9,18.39
-103.4237,20.65568,3495,"GAXCOPETROL DE MÉXICO, S. A. DE C. V.",JARDINES DEL TEPEYAC,45034,ZAPOPAN,Jalisco,PEMEX,15.78,16.68,
-102.7593,20.80356,3292,"SÚPER SERVICIO TEPATITLÁN, S. A. DE C. V.",CENTRO,47600,TEPATITLÁN DE MORELOS,Jalisco,PEMEX,16.19,17.09,
-102.3794,19.08894,3278,"SERVICE EXPRESS VALMONT, S. A. DE C. V.",EL CAPIRAL,60600,APATZINGÁN,Michoacan,PEMEX,15.75,15.85,18.9
-103.5165,20.45616,3272,"GASOLINERA CASCO HERMANOS, S. A. DE C. V.",BUENAVISTA,45640,TLAJOMULCO DE ZÚÑIGA,Jalisco,PEMEX,15.98,16.99,18.99
-102.7765,20.80697,3548,"MINI ESTACIÓN TEPA, S. A. DE C. V.",JARDINES DE ORIENTE,47600,TEPATITLÁN DE MORELOS,Jalisco,PEMEX,16.19,17.09,
-99.61739,19.25237,3189,"SERVICIO VASA, S. A. DE C. V.",LA MICHOACANA,52140,METEPEC,Estado de Mexico,TOTAL,14.49,15.53,18.44
-102.7863,20.78222,3621,"SERVICIO RAMÍREZ DE TEPATITLÁN, S. A. DE C. V.",S/C,47600,TEPATITLÁN DE MORELOS,Jalisco,PEMEX,16.37,17.11,19.74
-98.94969,19.8483,3539,"COMBULUB EL PILAR, S. A. DE C. V.",TEPOJACO,43810,TIZAYUCA,Hidalgo,PEMEX,14.45,16.99,18.57
-99.14361,19.36076,3598,"SERVICIO ERMITA, S. A. DE C. V.",PORTALES,3300,BENITO JUÁREZ,Ciudad de Mexico,PEMEX,15.43,15.99,18.99
-98.87061,19.50949,11007,"GRUPO GASOLINERO DEL SUR, S. A. DE C. V.",BARRIO DE SAN SEBASTIAN,56178,TEXCOCO,Estado de Mexico,PEMEX,14.59,16.7,18.24
-99.29659,19.5579,3265,"DESECHOS BIOLÓGICOS E INDUSTRIALES, S. A. DE C. V.",RANCHO VIEJO,52397,ATIZAPÁN DE ZARAGOZA,Estado de Mexico,CorpoGas,16.4,17.4,19.55
-102.5514,21.45915,3201,"SERVICIO PADILLA MÁRQUEZ, S. A. DE C. V.",CENTRO,47200,TEOCALTICHE,Jalisco,PEMEX,16.2,17.2,19.8
-96.7176,19.44703,3319,"GRUPO FERCHE, S. A. DE C. V.",S/C,91635,EMILIANO ZAPATA,Veracruz,Ferche Gas,15.39,15.79,19.61
-101.2991,20.67267,3651,"AUTOSERVICIO EL ÁGUILA, S. A. DE C. V.",LAS MALVAS,36810,IRAPUATO,Guanajuato,PEMEX,15.46,16.76,19.69
-98.97382,19.76281,3594,"SERVICIOS GUAU, S. A. DE C. V.",SAN PEDRO POTZOHUACAN,55744,TECÁMAC,Estado de Mexico,PEMEX,15,15.5,16.95
-97.4914,20.58537,3478,"CENTRO GASOLINERO ANIMAS, S. A. DE C. V.",LÁZARO CÁRDENAS,92938,TIHUATLÁN,Veracruz,PEMEX,15.39,16.39,18.99
-101.6158,21.09568,3482,"MAGAÑA SERVICIOS GASOLINEROS, S. A. DE C. V.",FRACCIONAMIENTO DEL PREDIO,37290,LEÓN,Guanajuato,PEMEX,14.99,15.99,19.99
-98.14983,22.55044,3232,ROBERTO CALLES BADILLO,ESTACIÓN CUAUHTEMOC,89610,ALTAMIRA,Tamaulipas,PEMEX,14.8,,18
-103.3542,20.58245,3277,"SERVICIO PRECIADO MARTINEZ, S. A. DE C. V.",ARTESANOS,45599,SAN PEDRO TLAQUEPAQUE,Jalisco,PEMEX,15.39,16.29,19.31
-99.05305,19.52847,3509,"RAGUVES, S. A. DE C. V.",MIGUEL HIDALGO,55490,ECATEPEC DE MORELOS,Estado de Mexico,CorpoGas,15.99,17.49,18.99
-103.3328,20.56289,3625,"COMBUSTIÓN PALMARES, S. A. DE C. V.",PARQUES DE SANTA CRUZ,45615,SAN PEDRO TLAQUEPAQUE,Jalisco,PEMEX,15.1,16.29,
-99.08244,19.35403,3301,"SERVICIOS ESTRELLA, S. A. DE C. V.",EL MANTO,9830,IZTAPALAPA,Ciudad de Mexico,PEMEX,14.99,15.94,17.99
-103.3502,20.65661,3364,"VALES FUSIÓN, S. A. DE C. V.",FERROCARRIL,44440,GUADALAJARA,Jalisco,PEMEX,15.49,16.29,
-103.4117,20.59399,3638,"GASOVIA, S. A. DE C. V.",PARQUES DE SANTA MARÍA,45609,SAN PEDRO TLAQUEPAQUE,Jalisco,PEMEX,15.1,16.29,18.7
-103.3582,20.66038,3654,"TRENOGAS, S. A. DE C. V.",MODERNA,44190,GUADALAJARA,Jalisco,PEMEX,15.49,16.29,19.31
-103.3297,20.63498,3571,"GASOLINERA SANTA BARBARA, S. A. DE C. V.",INDUSTRIAL EL ROSARIO,44290,GUADALAJARA,Jalisco,PEMEX,15.77,16.41,
-103.2436,20.52119,3370,"GASOFIA, S. A. DE C. V.",PARQUES DEL CASTILLO,45685,EL SALTO,Jalisco,PEMEX,15.49,16.29,21.04
-105.2258,20.67777,3239,"GASOLINERA LOS VECINOS, S. A. DE C. V.",FRACCIONAMIENTO VILLASPUERTO VALLARTA,48290,PUERTO VALLARTA,Jalisco,PEMEX,16.69,19,19.17
-97.75892,17.80275,3362,"COMBUSTIBLES DE HUAJUAPAN, S. A. DE C. V.",AGENCIA DE SANTA TERESA,69000,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,Oaxaca,PEMEX,16.95,17.38,19.83
-99.2111,19.31853,3536,"SERVICIO JARDINES DEL PEDREGAL, S. A. DE C. V.",JARDINES DEL PEDREGAL,1900,ÁLVARO OBREGÓN,Ciudad de Mexico,PEMEX,16.8,17.99,
-100.368,20.60003,3306,"SERVICIO PLAZA CIRCUNVALACIÓN, S. A. DE C. V.",VILLA LOS ARCOS,76060,QUERÉTARO,Queretaro,PEMEX,14.97,16.49,19.05
-99.22051,19.3063,3344,"SERVICIO 2M, S. A. DE C. V.",LOMAS DEL PEDREGAL,14150,TLALPAN,Ciudad de Mexico,G500 NETWORK,15.99,16.99,
-99.243,19.61093,3634,"ENERGÍA Y SERVICIOS COORDINADOS, S. A. DE C. V.",BOSQUES DEL LAGO,54766,CUAUTITLÁN IZCALLI,Estado de Mexico,Mi Gasolina,14.59,16.09,
-101.94,21.35952,3356,"DALGICO, S. A. DE C. V.",EL PANTEON,47400,LAGOS DE MORENO,Jalisco,PEMEX,16.49,17.29,18.99
-99.19665,19.65413,3636,"SERVICIO MAYELI, S. A. DE C. V.",PARQUE INDUSTRIAL,54700,CUAUTITLÁN IZCALLI,Estado de Mexico,G500 NETWORK,14.21,15.85,17.75
-103.2772,20.6416,3349,"SERVICIO AUTOMOTRIZ JEMA, S. A. DE C. V.",VILLAS DE ORIENTE,45417,TONALÁ,Jalisco,BP (BRITISH PETROLEUM),14.99,16.89,18.79
-99.20724,19.37266,3612,"SERVICIO ALFONSO XIII, S. A. DE C. V.",OLIVAR DEL CONDE,1400,ÁLVARO OBREGÓN,Ciudad de Mexico,PEMEX,15.67,16.74,
-98.85388,18.87135,3624,"ESTACIÓN DE SERVICIO YECAPIXTLA, S. A. DE C. V.",MEXQUEMECA,62820,YECAPIXTLA,Morelos,PEMEX,15.5,15.99,19.79
-99.46604,19.16698,10905,"COMBUSTIBLES PARAJE TIANGUISTENCO, S. A. DE C. V.",S/C,52600,TIANGUISTENCO,Estado de Mexico,TOTAL,14.59,15.39,18.99
-100.3602,20.5761,3334,"SERVICIOS TERMINAL QUERÉTARO, S. A. DE C. V.",EXHACIENDA CARRETAS,76079,QUERÉTARO,Queretaro,PEMEX,14.95,15.85,18.75
-100.8394,20.54467,3485,"SERVICIO GRUPO TEPEYAC, S. A. DE C. V.",LOS PINOS,38020,CELAYA,Guanajuato,PEMEX,13.91,15.1,
-102.0209,21.79561,3307,"SERVICIO OCCIDENTAL REFSA, S. A. DE C. V.",BETULIA,47504,LAGOS DE MORENO,Jalisco,PEMEX,15.15,16.39,18.83
-99.21848,19.35093,3674,"ESTACIÓN DE SERVICIO LAS ÁGUILAS, S. A. DE C. V.",LAS AGUILAS AMPLIACIÓN 1ER PARQUE,1750,ÁLVARO OBREGÓN,Ciudad de Mexico,CorpoGas,15.99,17.49,
-101.4046,20.68601,3400,"SERVICIO CERESO, S. A. DE C. V.",SAN J D JORGE LÓPEZ,36670,IRAPUATO,Guanajuato,PEMEX,14.89,15.1,19.45
-99.94492,19.72737,3181,"SÚPER SERVICIO GARDUÑO, S. A. DE C. V.",S/C,50640,SAN FELIPE DEL PROGRESO,Estado de Mexico,PEMEX,14.99,15.99,19
-102.74,20.84338,3303,"PETRO SAN JUAN, S. A. DE C. V.",PLAZA LOS ALTOS,47600,TEPATITLÁN DE MORELOS,Jalisco,PEMEX,16.19,17.09,19.19
-101.9968,21.13927,3511,"SERVICIO HÚSARES DE LA UNIÓN, S. A. DE C. V.",S/C,47570,UNIÓN DE SAN ANTONIO,Jalisco,EXXON MOBIL,15.69,17.55,18.49
-103.3803,20.71605,3517,"GAXCO OBELISCO, S. A. DE C. V.",CONJUNTO PATRIA,45160,ZAPOPAN,Jalisco,PEMEX,15.75,16.65,
-102.3818,21.02794,3411,"ESTACIÓN JH, S. A. DE C. V.",EL BAJIO,47143,SAN MIGUEL EL ALTO,Jalisco,PEMEX,16.49,17.09,19.99
-99.00952,19.59957,10966,"SERVICIO SPOOKS STAR MAN, S. A. DE C. V.",JARDINES DE MORELOS,55070,ECATEPEC DE MORELOS,Estado de Mexico,PEMEX,14.99,15.49,
-101.6739,21.14259,3273,"GOFES, S. A. DE C. V.",HIDALGO,37220,LEÓN,Guanajuato,EXXON MOBIL,15.99,17.51,18.85
-101.3361,20.67791,3464,"SERVICIO DEL CENTRO, S. A. DE C. V.",PLAN DE GUANAJUATO,36510,IRAPUATO,Guanajuato,EXXON MOBIL,15.12,16.19,19.47
-101.8536,21.03329,3537,"COMBUSTIBLES SOLIDARIDAD, S. A. DE C. V.",CUAHUTEMOC,N/D,SAN FRANCISCO DEL RINCÓN,Guanajuato,EXXON MOBIL,15.66,16.69,19.59
-101.286,20.98984,3576,"SERVICIO VEGUSA, S. A. DE C. V.",S/C,36250,GUANAJUATO,Guanajuato,EXXON MOBIL,16.19,17.11,19.61
-101.693,21.14314,3501,"ROCAGAS, S. A. DE C. V.",LOMAS DE LA TRINIDAD,37300,LEÓN,Guanajuato,EXXON MOBIL,15.99,17.49,18.67
-101.7051,21.13031,3211,"PETRO-LEO, S. A. DE C. V.",VISTA HERMOSA SUR,37330,LEÓN,Guanajuato,EXXON MOBIL,15.99,17.51,
-99.05618,19.61271,11055,"SERVICIO EL SOBERANO, S. A. DE C. V.",EJIDOS DE SAN CRISTOBAL,55020,ECATEPEC DE MORELOS,Estado de Mexico,PEMEX,14.89,17.29,18.66
-97.54265,19.09398,3541,"SERVICIO INTEGRAL LA LAGUNA DE ALJOJUCA, S. A. DE C. V.",S/C,75180,ALJOJUCA,Puebla,PEMEX,15.11,19.57,18.52
-99.53251,19.29878,3553,"PROVEEDORA DE COMBUSTIBLES LERMA, S. A. DE C. V.",PARQUE INDUSTRIAL LERMA,52000,LERMA,Estado de Mexico,TOTAL,14.48,15.79,18.89
-99.00443,19.6688,10963,JOSÉ MARÍA GOMEZ ROBLEDO,LOMA BONITA,55770,TECÁMAC,Estado de Mexico,PEMEX,15.19,16.19,18.39
-99.00884,19.37793,11138,"SERVICIO VILLADA, S. A. DE C. V.",VICENTE VILLADA,57710,NEZAHUALCÓYOTL,Estado de Mexico,PEMEX,14.69,16.59,18.89
-98.87965,19.29044,11159,"SERVICIO LOMAS DE CHALCO, S. A. DE C. V.",JARDIN INDUSTRIAL,56535,IXTAPALUCA,Estado de Mexico,PEMEX,13.9,17.99,
-100.6071,19.69823,3546,"SUPERSRVICIO DEL VALLE DEL ORIENTE, S. A. DE C. V.",S/C,61100,HIDALGO,Michoacan,PEMEX,15.98,17.5,19.5
-99.75148,19.30385,3496,"GRUPO GILJES, S. A. DE C. V.",SAN LORENZO CUAUHTENCO,51355,ZINACANTEPEC,Estado de Mexico,PEMEX,14.64,15.99,18.99
-98.97001,18.91905,10896,"COMBUSTIBLES OAXTEPEC, S. A. DE C. V.",SANTA ROSA OAXTEPEC,62738,YAUTEPEC,Morelos,PEMEX,14.85,16,
-99.24909,19.48034,3630,"DESECHOS BIOLÓGICOS E INDUSTRIALES, S. A. DE C. V.",SAN CRUZ ACATLAN,53140,NAUCALPAN DE JUÁREZ,Estado de Mexico,CorpoGas,15.99,16.99,
-99.6757,25.2581,3393,"GASOLINERA BALLESTEROS IBARRA, S. A. DE C. V.",CENTRO,67400,GENERAL TERÁN,Nuevo Leon,PEMEX,15.89,17.49,19.79
-116.5934,31.86245,3444,"SERVICIO CORTEZ, S. A.",MAESTROS,22840,ENSENADA,Baja California,ARCO,14.99,15.99,18.99
-106.2103,23.18855,3402,"SERVICIO RÍO PRESIDIO, S. A. DE C. V.",VILLA UNIÓN,82200,MAZATLÁN,Sinaloa,PEMEX,14.95,15.27,18.07
-99.22439,19.4303,3384,"ESTACIÓN DE SERVICIO JABA, S. A. DE C. V.",LOMAS DE SAN ISIDRO,5379,NAUCALPAN DE JUÁREZ,Estado de Mexico,PEMEX,15.11,16.87,
-116.6079,31.8691,3322,"SERVICIO ROSA, S. A. DE C. V.",FRACCIONAMIENTOULBRICH,22830,ENSENADA,Baja California,PEMEX,13.99,15.99,
-98.8795,19.26068,3238,"CORPOSTAR, S. A. DE C. V.",SAN GERGORIO,56600,CHALCO,Estado de Mexico,TOTAL,14.99,15.99,
-99.28356,20.18506,3497,"GASO PLUS DE HIDALGO, S. A. DE C. V.",S/C,42760,TEZONTEPEC DE ALDAMA,Hidalgo,PEMEX,13.95,14.13,17.33
-100.4323,20.61963,3358,"SERVICIO PLAZA CIRCUNVALACIÓN, S. A. DE C. V.",ZONA INDUSTRIAL BENITO JUÁREZ,76120,QUERÉTARO,Queretaro,PEMEX,14.06,16.54,19.09
-99.44221,19.1793,3182,"SÚPER SERVICIO VILLAMARES, S. A. DE C. V.",S/C,52680,XALATLACO,Estado de Mexico,PEMEX,14.45,15.34,18.95
-99.07056,19.34943,3389,"SERVICIO TERREMOTES, S. A. DE C. V.",SAN FELIPE TERREMOTES,9370,IZTAPALAPA,Ciudad de Mexico,PEMEX,14.99,15.94,17.99
-97.76357,17.81367,3476,"GRUPO EMPRESARIAL 3 MIXTECAS, S. A. DE C. V.",SANTA CRUZ HUAJUAPAN DE LEON,69005,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,Oaxaca,PEMEX,16.96,17.36,19.85
-99.21122,19.60659,3504,"DESECHOS BIOLÓGICOS E INDUSTRIALES, S. A. DE C. V.",SAN MARTIN TEPETIXPLAN,54769,CUAUTITLÁN IZCALLI,Estado de Mexico,PEMEX,15.8,16.8,18.59
-98.97506,18.94141,3499,"SERVICIO VACACIONAL TLAYACAPAN, S. A. DE C. V.",S/C,62540,TLAYACAPAN,Morelos,PEMEX,14.97,15.99,18.49
-99.64117,19.26983,3377,"SERVICIO DAYCO, S. A. DE C. V.",NUEVA SANTA MARÍA DE LAS ROSA,50140,TOLUCA,Estado de Mexico,PEMEX,14.24,15.89,
-100.5856,25.796,11130,"ENERGÉTICOS DE LA LAGUNA, S. A. DE C. V.",LAS ARBOLEDAS,66000,GARCÍA,Nuevo Leon,PEMEX,16.72,18.09,20.19
-98.89609,19.31269,3486,"GALA GAS, S. A. DE C. V.",SANTA BARBARA,56530,IXTAPALUCA,Estado de Mexico,PEMEX,15,15.2,
-103.3309,20.58481,3579,"ESTACIÓN DE SERVICIOS PUNTO SUR, S. A. DE C. V.",LA LADRILLERA,45580,SAN PEDRO TLAQUEPAQUE,Jalisco,PEMEX,15.79,16.99,18.75
-99.21637,19.4542,3311,"GAS SERVICIOS AGILES, S. A. de C. V.",LOMAS DE SOTELO,53390,NAUCALPAN DE JUÁREZ,Estado de Mexico,PEMEX,14.98,17.04,19.64
-102.716,20.06435,3454,"SERVICIO SAHUAYO, S. A. DE C. V.",SAN ISIDRO,59000,SAHUAYO,Michoacan,PEMEX,16.96,17.58,20.17
-99.2704,19.55221,3620,"VEXAL, S. A. DE C. V.",LOMAS DE ATIZAPÁN,52977,ATIZAPÁN DE ZARAGOZA,Estado de Mexico,PEMEX,15.49,18.3,19.99
-99.19482,19.54239,10973,MA. ELENA ABIGAIL VARGAS ROSALES,TLALNEPANTLA CENTRO,54000,TLALNEPANTLA DE BAZ,Estado de Mexico,PEMEX,15.21,16.23,
-102.577,21.53776,3325,"SERVICIO MARTINEZ GONZÁLEZ, S. A. DE C. V.",S/C,47210,TEOCALTICHE,Jalisco,PEMEX,16,16.5,19.8
-86.83038,21.18984,3336,"SERVICIOS CAMINO, S. A. DE C. V.",REGION 240,77527,BENITO JUÁREZ,Quintana Roo,CorpoGas,16.39,16.79,
-86.82726,21.17013,3323,"SERVICIO MIRADOR, S. A. DE C. V.",CANCUN,77513,BENITO JUÁREZ,Quintana Roo,CorpoGas,15.99,16.49,19.49
-86.86993,21.19036,3516,"SERVICIO ORQUIDEAS, S. A. DE C. V.",CANCUN,77516,BENITO JUÁREZ,Quintana Roo,CorpoGas,16.44,16.79,
-98.96274,19.37015,3467,"SERVICIO GRAMMAR, S. A. DE C. V.",EL SALADO,56410,LA PAZ,Estado de Mexico,PEMEX,14.59,16.05,18.45
-87.04619,20.67633,3593,"SERVICIO RÍO HONDO, S. A. DE C. V.",SOLIDARIDAD,77710,SOLIDARIDAD,Quintana Roo,CorpoGas,16.09,16.59,19.69
-86.83926,21.12545,3659,"SERVICIO DELFINES, S. A. DE C. V.",S/C,77560,BENITO JUÁREZ,Quintana Roo,CorpoGas,16.49,16.89,
-86.85104,21.1493,3405,"SERVICIO RIMATOVE, S. A. DE C. V.",S/C,77533,BENITO JUÁREZ,Quintana Roo,CorpoGas,16.19,16.59,19.79
-87.0924,20.64403,3380,"ESTACIÓN DE SERVICIO RAVEMA, S. A. DE C. V.",SOLIDARIDAD,77710,SOLIDARIDAD,Quintana Roo,CorpoGas,16.29,16.79,19.79
-98.86621,19.22415,3412,"SERVICIO COCOHTLI, S. A. DE C. V.",COCOHTLI,56680,COCOTITLÁN,Estado de Mexico,PEMEX,14.4,15.1,17.9
-88.04486,19.56569,3353,"ESTACIÓN DE SERVICIO BACALAR, S. A. DE C. V.",LEONA VICARIO,77210,FELIPE CARRILLO PUERTO,Quintana Roo,CorpoGas,16.69,17.84,19.89
