Longitud,Latitud,ID_CRE,Razon_Social,Colonia,CP,Municipio,Entidad,Franquicia_Marca,Gas87,Gas91,Diesel
-115.3589,32.55959,2173,"GRUPO EMPRESARIAL CACHANILLA, S. A. DE C. V.",FRACCIONAMIENTO VALLE DE PUEBLA VI SECCIÓN,21395,MEXICALI,Baja California,PEMEX,13.44,15.09,18.29
-115.5029,32.59509,2141,"GRUPO EMPRESARIAL CACHANILLA, S. A. DE C. V.",FRACCIONAMIENTO HACIENDA DE LOS PORTALES,21327,MEXICALI,Baja California,PEMEX,13.39,15.09,
-108.9767,25.79107,2495,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",FRACCIONAMIENTO EL PARQUE,81259,AHOME,Sinaloa,PEMEX,16.93,18.43,20.99
-108.9258,25.94688,2547,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",MOCHICAHUI,81890,EL FUERTE,Sinaloa,PEMEX,16.45,18.99,21.19
-109.2961,25.96616,2077,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",CENTRO,81330,AHOME,Sinaloa,PEMEX,16.45,,20.99
-115.3744,32.65948,2221,"GRUPO EMPRESARIAL CACHANILLA, S. A. DE C. V.",CALLES,21226,MEXICALI,Baja California,PEMEX,13.44,15.29,18.39
-109.0072,25.77955,2463,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",MARGARITA,81270,AHOME,Sinaloa,PEMEX,16.9,17.99,19.99
-101.2223,19.67717,2262,"GRUPO OCTANO, S. A. DE C. V.",HERMANOS LÓPEZ RAYON,58086,MORELIA,Michoacan,Octano,15.08,15.98,
-109.3231,25.86532,2537,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",EJIDO LAS GRULLAS,81335,AHOME,Sinaloa,PEMEX,16.45,,20.99
-108.9855,25.80147,2092,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",FRACCIONAMIENTO JUAN COTA,81224,AHOME,Sinaloa,PEMEX,16.93,18.98,20.98
-115.5797,32.58874,2240,"GRUPO EMPRESARIAL CACHANILLA, S. A. DE C. V.",FRACCIONAMIENTO VALLE DEL PROGRESO,21326,MEXICALI,Baja California,PEMEX,13.49,14.94,
